reef_id,survey_type,country,reef_area_ha,reef_area_km,reef_count,halo_area_ha,halo_area_km,halo_count,reef_visibility,ocean_basin,site_characterization,image_date,image_year
R00001,Stratified_AllReefs,São Tomé and Príncipe,141,1.41,1,0,0,0,NH,S. Atlantic,Aggregate Reef,2/8/16,2016
R00002,Stratified_AllReefs,Indonesia,45,0.45,1,0,0,0,NH,Indian ,Aggregate Reef,5/29/15,2015
R00003,Stratified_AllReefs,Indonesia,48.5,0.485,1,0,0,0,NH,Indian ,Aggregate Reef,5/29/15,2015
R00004,Stratified_AllReefs,Indonesia,68.6,0.686,1,0,0,0,NH,Indian ,Aggregate Reef,12/20/13,2013
R00005,Stratified_AllReefs,Indonesia,80.4,0.804,1,0,0,0,BR,Indian ,Aggregate Reef,7/23/14,2014
R00006,Stratified_AllReefs,Indonesia,189,1.89,1,0,0,0,BR,Indian ,Aggregate Reef,12/5/12,2012
R00007,Stratified_AllReefs,Indonesia,148,1.48,1,0,0,0,BR,Indian ,Aggregate Reef,12/5/12,2012
R00008,Stratified_AllReefs,Indonesia,62.6,0.626,1,0,0,0,NH,S. Pacific,Aggregate Reef,7/5/16,2016
R00009,Stratified_AllReefs,Indonesia,25,0.25,1,0,0,0,NH,S. Pacific,Aggregate Reef,8/31/15,2015
R00010,Stratified_AllReefs,Indonesia,136,1.36,1,0,0,0,NH,S. Pacific,Aggregate Reef,11/20/10,2010
R00011,Stratified_AllReefs,Indonesia,27.41,0.2741,1,0,0,0,NH,S. Pacific,Patch Reef,2/1/15,2015
R00012,Stratified_AllReefs,Indonesia,19.2,0.192,1,0,0,0,NH,S. Pacific,Aggregate Reef,2/1/15,2015
R00013,Stratified_AllReefs,Equador,26.5,0.265,1,0,0,0,NH,S. Pacific,Aggregate Reef,12/1/14,2012
R00014,Stratified_AllReefs,Indonesia,99.9,0.999,1,0,0,0,NH,Indian ,Aggregate Reef,2/9/14,2014
R00015,Stratified_AllReefs,Indonesia,35.1,0.351,1,0,0,0,NH,Indian ,Aggregate Reef,2/25/14,2014
R00016,Stratified_AllReefs,Indonesia,35,0.35,1,0,0,0,NH,Indian ,Aggregate Reef,2/25/14,2014
R00017,Stratified_AllReefs,Indonesia,15,0.15,1,0,0,0,NH,Indian ,Aggregate Reef,2/25/14,2014
R00018,Stratified_AllReefs,Indonesia,30,0.3,1,0,0,0,NH,Indian ,Aggregate Reef,4/27/12,2012
R00019,Stratified_AllReefs,Indonesia,81,0.81,1,0,0,0,NH,N. Pacific,Aggregate Reef,2/26/14,2014
R00020,Stratified_AllReefs,Indonesia,171,1.71,1,0,0,0,NH,N. Pacific,Aggregate Reef,2/26/14,2014
R00021,Stratified_AllReefs,Indonesia,172,1.72,1,0,0,0,NH,N. Pacific,Aggregate Reef,8/24/14,2014
R00022,Stratified_AllReefs,Indonesia,24,0.24,1,0,0,0,NH,N. Pacific,Aggregate Reef,5/10/11,2011
R00023,Stratified_AllReefs,Indonesia,113.1,1.131,1,0,0,0,NH,N. Pacific,Aggregate Reef,11/16/17,2017
R00024,Stratified_AllReefs,Indonesia,13.13,0.1313,1,0,0,0,NH,N. Pacific,Aggregate Reef,12/4/18,2018
R00025,Stratified_AllReefs,Indonesia,7.8,0.078,1,0,0,0,DR,N. Pacific,Aggregate Reef,7/10/15,2015
R00026,Stratified_AllReefs,Indonesia,43.7,0.437,1,0,0,0,NH,N. Pacific,Aggregate Reef,5/1/12,2012
R00027,Stratified_AllReefs,Somalia,477,4.77,1,0,0,0,NH,Indian ,Aggregate Reef,5/14/11,2011
R00028,Stratified_AllReefs,Indonesia,110.5,1.105,1,0,0,0,NH,Indian ,Aggregate Reef,1/12/15,2015
R00029,Stratified_AllReefs,Indonesia,10.2,0.102,1,0,0,0,NH,S. Pacific,Aggregate Reef,7/25/18,2018
R00030,Stratified_AllReefs,Indonesia,7.12,0.0712,1,0,0,0,NH,S. Pacific,Aggregate Reef,7/25/18,2018
R00031,Stratified_AllReefs,Indonesia,24.4,0.244,1,0,0,0,NH,S. Pacific,Aggregate Reef,7/25/18,2018
R00032,Stratified_AllReefs,Indonesia,26.2,0.262,1,0,0,0,NH,S. Pacific,Aggregate Reef,7/5/17,2017
R00033,Stratified_AllReefs,Indonesia,171,1.71,1,0,0,0,NH,S. Pacific,Patch Reef,3/10/14,2014
R00034,Stratified_AllReefs,Indonesia,63.6,0.636,1,0,0,0,NH,S. Pacific,Aggregate Reef,12/18/13,2013
R00035,Stratified_AllReefs,Indonesia,24.5,0.245,1,0,0,0,NH,S. Pacific,Aggregate Reef,9/15/10,2010
R00036,Stratified_AllReefs,Indonesia,387.6,3.876,1,13.22,0.1322,1,HP,S. Pacific,Patch Reef,4/11/18,2018
R00037,Stratified_AllReefs,Indonesia,25,0.25,1,0,0,0,NP,S. Pacific,Aggregate Reef,7/12/10,2010
R00038,Stratified_AllReefs,Indonesia,127,1.27,1,0,0,0,BR,S. Pacific,Aggregate Reef,6/30/12,2012
R00039,Stratified_AllReefs,Indonesia,261,2.61,1,0,0,0,NH,S. Pacific,Aggregate Reef,6/30/12,2012
R00040,Stratified_AllReefs,Indonesia,25.9,0.259,1,0,0,0,NP,S. Pacific,Aggregate Reef,6/30/12,2012
R00041,Stratified_AllReefs,Indonesia,18.5,0.185,1,0,0,0,NP,S. Pacific,Spur and Groove,9/27/12,2012
R00042,Stratified_AllReefs,Maldives,115.8,1.158,1,0,0,0,NH,Indian ,Patch Reef,9/17/14,2012
