location,reef,date,reef.area,halo.area,reef.rad,halo.rad,halo.wid
fiji,8,20050624,512.414307,1493.025391,12.77131707,21.80010877,9.028791696
fiji,12,20050624,1212.764404,2792.19873,19.64777085,29.81248832,10.16471747
fiji,14,20050624,791.192139,1826.985107,15.86960238,24.11529435,8.245691967
fiji,16,20050624,523.705811,1231.141602,12.91126396,19.79607393,6.884809972
fiji,49,20050624,560.963135,4469.773193,13.36263865,37.71966326,24.35702461
fiji,50,20050624,556.958008,2860.304199,13.31485036,30.17388116,16.8590308
fiji,51,20050624,550.412109,1528.087646,13.23637472,22.05460053,8.818225812
fiji,59,20050624,729.145508,2367.917969,15.23463894,27.45417453,12.21953559
fiji,64,20050624,1240.137207,4056.351074,19.86826447,35.93294656,16.06468209
fiji,65,20050624,259.04541,1867.966309,9.080567987,24.38426015,15.30369217
fiji,8,20050812,532.763428,1386.575684,13.02243703,21.00858749,7.986150459
fiji,10,20050812,486.537354,2246.088379,12.44466351,26.7385889,14.29392539
fiji,14,20050812,669.749512,1098.567627,14.60095514,18.69986461,4.098909469
fiji,16,20050812,264.416992,711.79834,9.174232536,15.05232369,5.878091158
fiji,30,20050812,68.935303,69.211426,4.684313018,4.69368524,0.009372222
fiji,35,20050812,92.439209,590.561035,5.424418319,13.71063149,8.286213171
fiji,42,20050812,633.584717,2724.304199,14.20127738,29.44780059,15.24652321
fiji,44,20050812,198.134277,2309.073486,7.941542618,27.11090036,19.16935775
fiji,49,20050812,550.804443,1604.560547,13.24109133,22.59972312,9.358631792
fiji,50,20050812,574.631348,1601.657715,13.52445337,22.57927113,9.054817764
fiji,51,20050812,606.971924,1153.926758,13.89982604,19.16523663,5.265410584
fiji,53,20050812,23.416748,138.436035,2.730161605,6.638189403,3.908027797
fiji,54,20050812,392.594482,7573.296387,11.17885079,49.09842269,37.91957191
fiji,55,20050812,296.65918,2532.248535,9.717486806,28.39083907,18.67335226
fiji,60,20050812,380.88623,1293.304932,11.01089699,20.28969555,9.278798565
fiji,64,20050812,1077.370117,4501.764648,18.51857336,37.85440784,19.33583448
fiji,67,20050812,197.228027,1628.972656,7.923359819,22.77099253,14.84763271
fiji,1,20110611,15.408447,351.398438,2.214646927,10.57608608,8.361439155
