location,reef,date,reef.area,halo.area,reef.rad,halo.rad,halo.wid
usa,22,20100101,366.9238,1702.2871,10.80719543,23.27777509,12.47057966
usa,25,20100101,206.8828,1072.8262,8.114976311,18.47948012,10.36450381
usa,26,20100101,209.5508,1254.2207,8.167134828,19.98076195,11.81362713
usa,47,20100101,831.3359,2480.2734,16.26721967,28.09796334,11.83074367
usa,62,20100101,203.4082,1348.7148,8.046542176,20.71977931,12.67323713
usa,72,20100101,840.7832,2571.2734,16.35938889,28.60877039,12.24938151
usa,83,20100101,1288.457,2949.4844,20.25163206,30.64065997,10.38902792
usa,88,20100101,32.8633,427.3711,3.234302596,11.6634663,8.429163707
usa,97,20100101,490.0488,1763.3301,12.48949069,23.69146267,11.20197198
usa,99,20100101,1165.7227,2785.1738,19.26294526,29.77496189,10.51201663
usa,22,20100401,418.1113,1653.9922,11.53641887,22.94519708,11.40877821
usa,25,20100401,238.0723,987.1074,8.705214915,17.72585807,9.02064315
usa,26,20100401,197.3809,1318.0977,7.926429954,20.48324996,12.55682
usa,47,20100401,923.3477,2272.6621,17.143824,26.89629741,9.752473412
usa,60,20100401,153.4141,998.2402,6.988077326,17.82553574,10.83745842
usa,61,20100401,262.6152,1269.7988,9.142921547,20.10446496,10.96154342
usa,62,20100401,256.75,1315.2656,9.040246859,20.4612327,11.42098584
usa,72,20100401,836.5195,2457.8301,16.31785607,27.97054914,11.65269307
usa,83,20100401,1007.5547,3362.7695,17.90850697,32.71701051,14.80850354
usa,97,20100401,550.7285,1779.1309,13.24017848,23.79737284,10.55719437
usa,99,20100401,1241.3398,2992.3574,19.87789552,30.8625492,10.98465368
usa,22,20110327,443.541,1953.959,11.8820657,24.93921544,13.05714975
usa,26,20110327,183.8965,622.2441,7.650887137,14.07360823,6.422721094
usa,47,20110327,840.9063,2168.6895,16.36058644,26.27385217,9.913265732
usa,63,20110327,673.6309,2290.9121,14.64320235,27.00407321,12.36087086
usa,72,20110327,787.0586,1939.5605,15.82809317,24.84715843,9.01906526
usa,81,20110327,93.6797,642.9336,5.460693605,14.30566744,8.84497384
usa,83,20110327,1406.8828,3053.8828,21.1618691,31.17821493,10.01634583
usa,88,20110327,58.9121,334.0879,4.330393036,10.31229758,5.981904546
usa,99,20110327,1344.293,2429.6504,20.68578623,27.80974186,7.123955633
usa,1,20130307,625.9106,3153.2539,14.11501087,31.68141237,17.5664015
